id,name,desc,type,md5,omics_id,omics_type
71,PRO000000087_EPT000000087_SCT000000087.h5ad,sct_expr,h5ad,59995cd6319f5c1e251f0bc986eb91cd,SCT000000087,1
72,PRO000000088_EPT000000088_SCT000000088.h5ad,sct_expr,h5ad,b8ae704d38fb274dc8fb6b79250904db,SCT000000088,1
73,PRO000000089_EPT000000089_SCT000000089.h5ad,sct_expr,h5ad,d16d62d7bc7ccb72123ea784b243002b,SCT000000089,1
74,PRO000000092_EPT000000092_SCT000000092.h5ad,sct_expr,h5ad,21f6244e0f709889d101f0907ee5c1ee,SCT000000092,1
75,PRO000000093_EPT000000093_SCT000000093.h5ad,sct_expr,h5ad,ea627b34e91b357a0428c12386f6b297,SCT000000093,1
76,PRO000000094_EPT000000094_SCT000000094.h5ad,sct_expr,h5ad,3097986248cf9de3cbcecc0bf156caea,SCT000000094,1
77,PRO000000099_EPT000000099_SCT000000099.h5ad,sct_expr,h5ad,863158fe3b0cae5f6502325377478105,SCT000000099,1
78,PRO000000100_EPT000000100_SCT000000100.h5ad,sct_expr,h5ad,ea187dc3005345fa7e0090a944692140,SCT000000100,1
79,PRO000000102_EPT000000102_SCT000000102.h5ad,sct_expr,h5ad,0d604f2c8b69cfb903699c443249e4a3,SCT000000102,1
80,PRO000000104_EPT000000104_SCT000000104.h5ad,sct_expr,h5ad,827e1a47e4299838ad4a0f6ec0d6d3da,SCT000000104,1
81,PRO000000105_EPT000000105_SCT000000105.h5ad,sct_expr,h5ad,18d3a4dd25a29d3ab43eb114bd7f13c9,SCT000000105,1
82,PRO000000106_EPT000000106_SCT000000106.h5ad,sct_expr,h5ad,9699b4649c6dd67963103c9e6d6c0e6e,SCT000000106,1
83,PRO000000107_EPT000000107_SCT000000107.h5ad,sct_expr,h5ad,5f93a074114e29da0fd2454c31f2bd17,SCT000000107,1
84,PRO000000108_EPT000000108_SCT000000108.h5ad,sct_expr,h5ad,f9cd7ea854f6e5c5b80c777c2b2f0a56,SCT000000108,1
85,PRO000000109_EPT000000109_SCT000000109.h5ad,sct_expr,h5ad,94eedad2812c756a373955aed1291445,SCT000000109,1
86,PRO000000110_EPT000000110_SCT000000110.h5ad,sct_expr,h5ad,de1abb82c412b426e53589e02a31ed18,SCT000000110,1
87,PRO000000112_EPT000000112_SCT000000112.h5ad,sct_expr,h5ad,402b13a3d96b18e0361d63d35df1bc9f,SCT000000112,1
88,PRO000000114_EPT000000114_SCT000000114.h5ad,sct_expr,h5ad,739a3ad2221f712c161e10d6f758a1fa,SCT000000114,1
